filename,low_brightness,low_contrast,noise,blur,overexposure
sample_0_deg_0.jpg,1,1,0,0,0
sample_0_deg_1.jpg,0,0,1,0,0
sample_0_deg_2.jpg,1,0,1,0,0
sample_0_deg_3.jpg,1,0,0,0,0
sample_0_deg_4.jpg,0,0,0,1,0
sample_1_deg_0.jpg,1,1,0,0,0
sample_1_deg_1.jpg,0,1,1,0,1
sample_1_deg_2.jpg,0,0,0,1,1
sample_1_deg_3.jpg,0,0,1,0,1
sample_1_deg_4.jpg,0,1,1,0,0
sample_2_deg_0.jpg,0,1,0,1,0
sample_2_deg_1.jpg,0,0,0,0,1
sample_2_deg_2.jpg,0,0,1,0,1
sample_2_deg_3.jpg,1,0,0,0,0
sample_2_deg_4.jpg,0,1,0,0,0
sample_3_deg_0.jpg,0,0,0,1,0
sample_3_deg_1.jpg,0,1,1,0,1
sample_3_deg_2.jpg,0,0,0,0,1
sample_3_deg_3.jpg,0,0,1,1,0
sample_3_deg_4.jpg,0,1,0,1,1
sample_4_deg_0.jpg,0,1,0,0,1
sample_4_deg_1.jpg,0,0,1,1,0
sample_4_deg_2.jpg,0,0,0,1,1
sample_4_deg_3.jpg,1,0,0,1,0
sample_4_deg_4.jpg,1,0,0,0,0
